Symbol,Name,Info
AAPL,Apple Inc,Apple Inc. is an American multinational technology company.
TSLA,Tesla Inc,Tesla Inc. is an American electric vehicle and clean energy company.
WMT,Walmart Inc,Walmart Inc. is an American multinational retail corporation.
GE,General Electric,General Electric is an American multinational conglomerate.
IBM,IBM(International Business Machines Co),IBM is an American multinational technology company.
SLB,Schlumberger Limited.,Schlumberger Limited is the world's largest oilfield services company.
TXN,Texas Instruments Incorporated,Texas Instruments is an American technology company that designs and manufactures semiconductors.
AMZN,"Amazon.com, Inc","Amazon.com, Inc. is an American multinational technology company focusing on e-commerce, cloud computing, and artificial intelligence."
